Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,2008238.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,622643.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,779005.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_RAILWAY_PASSENGER,NUMBER,438783.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_RAILWAY_PASSENGER,NUMBER,619206.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_RAILWAY_PASSENGER,NUMBER,180327.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_RAILWAY_PASSENGER,NUMBER,799533.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_WATER_PASSENGER,NUMBER,4275112.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_WATER_PASSENGER,NUMBER,4549333.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_WATER_PASSENGER,NUMBER,1155299.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_WATER_PASSENGER,NUMBER,3842092.0
2014,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1449824.0
2015,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1390048.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1415745.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1530031.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1697012.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1829423.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,5715640.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,950362.0
2022,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1594760.0
2023,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,1956760.0
2024,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,2264252.0
2025,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_AIR,NUMBER,2531049.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,3842092.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,3995155.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,4275112.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,4549333.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,1482975.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,2367867.0
2022,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,3805287.0
2023,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,5277777.0
2024,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_IWW,NUMBER,5727216.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,438783.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,299611.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,296586.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,331879.0
2022,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,520638.0
2023,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,75299.0
2024,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,251112.0
2025,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,MOT_RAI,NUMBER,469686.0
