Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,71.4
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,70.6
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,56.1
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,57.5
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,56.4
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,66.5
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,61.3
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,49.9
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,57.4
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,37.4
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,35.0
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,48.2
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,45.9
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,54.7
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,40.1
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,38.7
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,52.2
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,53.7
