Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,81.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,61.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,57.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,67.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,76.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,100.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,118.7
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Human Capital Development,Percent,,97.7
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Human Capital Development,Percent,,107.2
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Human Capital Development,Percent,,105.5
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,72.1
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,117.9
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,105.8
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,85.8
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,94.3
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,93.7
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,31.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,103.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,83.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,88.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,125.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,106.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on ICT,Percent,,86.5
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Integrated Transport Infrastructure and Services,Percent,,71.1
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Integrated Transport Infrastructure and Services,Percent,,111.9
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Integrated Transport Infrastructure and Services,Percent,,127.3
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,128.2
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,117.9
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,112.5
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,108.2
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,144.8
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,107.9
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,106.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,93.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,92.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,97.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,107.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,100.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on JLOS,Percent,,102.0
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,96.2
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,59.6
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,79.6
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,96.4
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,101.2
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,157.9
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,152.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,83.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,115.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,111.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,41.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,109.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government expenditure on Lands",Percent,,121.0
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,99.0
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,97.2
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,156.5
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,98.4
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,99.5
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,96.1
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,112.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,108.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,115.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,114.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,92.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,87.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,98.0
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,99.0
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,96.0
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Legislature,Percent,,99.4
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Manufacturing,Percent,,255.8
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Manufacturing,Percent,,142.9
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Manufacturing,Percent,,168.3
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Mineral Development,Percent,,63.4
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Mineral Development,Percent,,60.6
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Mineral Development,Percent,,92.3
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government Expenditure on Natural Resources",Percent,,84.4
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government Expenditure on Natural Resources",Percent,,106.4
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,"""Primary Government Expenditure on Natural Resources",Percent,,102.3
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Private Sector Development,Percent,,98.1
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Private Sector Development,Percent,,99.4
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Private Sector Development,Percent,,99.6
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,159.4
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,164.8
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,145.2
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,154.4
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,90.3
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,84.0
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,119.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,105.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,120.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,132.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,117.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,141.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Administration,Percent,,124.6
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,130.4
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,106.1
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,94.3
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,89.7
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,103.8
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Public Sector Management,Percent,,96.1
