Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Zoonotic events and the human朼nimal interface,Percent,40
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Zoonotic events and the human朼nimal interface,Percent,60
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Food safety,Percent,20
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Food safety,Percent,40
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Food safety,Percent,40
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Laboratory,Percent,87
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Laboratory,Percent,87
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Laboratory,Percent,93
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Surveillance,Percent,80
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Surveillance,Percent,80
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Surveillance,Percent,80
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Human resources,Percent,80
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Human resources,Percent,80
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Human resources,Percent,80
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: National Health Emergency Framework,Percent,67
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: National Health Emergency Framework,Percent,80
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: National Health Emergency Framework,Percent,73
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Health Service Provision,Percent,53
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Health Service Provision,Percent,67
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Health Service Provision,Percent,73
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Risk Communication,Percent,0
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Risk Communication,Percent,80
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Risk Communication,Percent,80
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Points of entry,Percent,20
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Points of entry,Percent,40
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Chemical events,Percent,80
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Chemical events,Percent,80
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Radiation emergencies,Percent,40
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Radiation emergencies,Percent,60
2021,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report 2: Surveillance,Percent,70
2021,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report 2: Human resources,Percent,80
2021,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report 2: Health emergency management,Percent,73
2021,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report 2: Health services provision,Percent,67
2021,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report 2: Infection prevention and control (IPC),Percent,33
