Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,33.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,47.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,32.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,38.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,106.3
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_GOVERNANCE_AND_SECURITY,PT,,108.9
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_GOVERNANCE_AND_SECURITY,PT,,113.5
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_GOVERNANCE_AND_SECURITY,PT,,111.8
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,95.7
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,98.3
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,97.6
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,97.9
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,96.0
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,95.4
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,81.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,61.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,57.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,67.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,76.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,100.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HEALTH,PT,,118.7
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HUMAN_CAPITAL_DEVELOPMENT,PT,,97.7
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HUMAN_CAPITAL_DEVELOPMENT,PT,,107.2
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_HUMAN_CAPITAL_DEVELOPMENT,PT,,105.5
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,72.1
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,117.9
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,105.8
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,85.8
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,94.3
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,93.7
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,31.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,103.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,83.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,88.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,125.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,106.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ICT,PT,,86.5
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ITIS,PT,,71.1
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ITIS,PT,,111.9
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ITIS,PT,,127.3
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,128.2
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,117.9
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,112.5
